**********
SEED 1
**********
Running Online Backpropagation...
Iteration 1	 Training error: 0.716442	 Test error: 0.725638
0 -- 1 1 -- 1.13669e-84 
1 -- 1 0 -- 1.1086e-198 
1 -- 1 0 -- 1.00131e-84 
0 -- 1 1 -- 8.73219e-76 
1 -- 0.99982 0 -- 0.8872 
1 -- 2.00339e-51 0 -- 1 
1 -- 1 0 -- 3.03381e-08 
1 -- 2.13044e-131 0 -- 1 
1 -- 1 0 -- 2.57888e-15 
1 -- 1 0 -- 7.85575e-115 
0 -- 3.12794e-105 1 -- 1 
1 -- 1 0 -- 3.09426e-53 
0 -- 1.48209e-51 1 -- 1 
0 -- 1.72629e-14 1 -- 1 
0 -- 9.96487e-142 1 -- 1 
1 -- 1 0 -- 8.70591e-89 
0 -- 5.98361e-13 1 -- 1 
0 -- 0 1 -- 1 
1 -- 1 0 -- 9.97389e-148 
1 -- 3.00136e-12 0 -- 1 
1 -- 1 0 -- 1.04198e-21 
1 -- 1.38766e-132 0 -- 1 
1 -- 1 0 -- 2.30359e-15 
1 -- 1.45384e-41 0 -- 1 
0 -- 1.89495e-30 1 -- 1 
1 -- 1 0 -- 7.63992e-68 
1 -- 1 0 -- 8.40292e-43 
0 -- 4.53923e-228 1 -- 1 
1 -- 1 0 -- 2.92404e-130 
1 -- 8.91907e-160 0 -- 1 
0 -- 1.62111e-27 1 -- 1 
1 -- 1 0 -- 5.33733e-31 
1 -- 1 0 -- 1.18976e-20 
1 -- 1 0 -- 1.12788e-138 
1 -- 1 0 -- 3.21899e-55 
1 -- 1 0 -- 4.69879e-83 
1 -- 1.44852e-48 0 -- 1 
1 -- 1 0 -- 4.45775e-97 
0 -- 9.88959e-35 1 -- 1 
0 -- 1 1 -- 1.43307e-67 
0 -- 0 1 -- 1 
0 -- 5.66773e-36 1 -- 1 
0 -- 1 1 -- 1.95313e-53 
0 -- 2.28092e-72 1 -- 1 
1 -- 1.45121e-31 0 -- 1 
1 -- 2.54335e-58 0 -- 1 
1 -- 1 0 -- 0.999992 
0 -- 8.73862e-35 1 -- 1 
1 -- 0.984361 0 -- 0.973631 
1 -- 1.27021e-24 0 -- 1 
0 -- 1 1 -- 8.39009e-85 
1 -- 1 0 -- 2.97855e-93 
1 -- 3.58154e-103 0 -- 1 
1 -- 1 0 -- 1.3441e-44 
1 -- 4.78092e-56 0 -- 1 
0 -- 1.39552e-89 1 -- 1 
1 -- 1 0 -- 4.80055e-123 
0 -- 1 1 -- 2.46238e-36 
1 -- 0.00492262 0 -- 1 
1 -- 1 0 -- 2.55886e-69 
1 -- 2.71516e-49 0 -- 1 
1 -- 2.34467e-15 0 -- 1 
0 -- 0.000132806 1 -- 1 
1 -- 1 0 -- 4.36759e-84 
1 -- 1 0 -- 0.0121846 
1 -- 1 0 -- 1.9607e-62 
1 -- 1 0 -- 2.69662e-108 
1 -- 1.03819e-10 0 -- 1 
0 -- 2.70267e-20 1 -- 1 
1 -- 4.79047e-64 0 -- 1 
0 -- 1 1 -- 9.49943e-99 
1 -- 1 0 -- 5.21168e-30 
0 -- 1 1 -- 0.999992 
0 -- 1 1 -- 2.05874e-39 
0 -- 1 1 -- 1.97302e-50 
1 -- 1 0 -- 1.31273e-36 
0 -- 1 1 -- 3.10625e-62 
1 -- 1 0 -- 4.69879e-83 
0 -- 1 1 -- 4.06961e-78 
1 -- 1 0 -- 6.94777e-40 
0 -- 1 1 -- 2.96593e-83 
1 -- 2.11315e-196 0 -- 1 
0 -- 4.24488e-160 1 -- 1 
1 -- 1 0 -- 4.04442e-18 
1 -- 5.78272e-85 0 -- 1 
1 -- 1 0 -- 0.239463 
0 -- 1 1 -- 2.55117e-82 
1 -- 1 0 -- 3.73981e-120 
1 -- 5.64493e-13 0 -- 0.00319998 
0 -- 9.49289e-83 1 -- 1 
1 -- 4.8593e-124 0 -- 1 
1 -- 1 0 -- 1.35431e-72 
1 -- 1 0 -- 3.36595e-148 
0 -- 1 1 -- 2.29469e-06 
1 -- 1 0 -- 1.43916e-77 
1 -- 1 0 -- 1.88389e-71 
1 -- 1 0 -- 1.40737e-105 
1 -- 1 0 -- 4.05521e-142 
0 -- 1 1 -- 0.995044 
1 -- 1 0 -- 1.44351e-64 
0 -- 1 1 -- 1.71283e-96 
1 -- 1 0 -- 1.22233e-16 
1 -- 0.130614 0 -- 1 
1 -- 1 0 -- 8.23322e-62 
0 -- 0 1 -- 1 
1 -- 1 0 -- 3.53967e-83 
1 -- 4.3766e-27 0 -- 1 
0 -- 1 1 -- 5.14363e-46 
0 -- 1 1 -- 5.76874e-119 
1 -- 1 0 -- 1.40408e-54 
0 -- 1 1 -- 3.9873e-65 
0 -- 4.3766e-27 1 -- 1 
0 -- 1 1 -- 2.36899e-56 
0 -- 7.64705e-143 1 -- 1 
1 -- 1 0 -- 1 
0 -- 1 1 -- 6.83537e-15 
1 -- 1 0 -- 5.56797e-73 
0 -- 1 1 -- 0.999992 
0 -- 8.39262e-86 1 -- 1 
1 -- 1 0 -- 2.59494e-75 
1 -- 1 0 -- 1.03614e-107 
1 -- 1 0 -- 0.995044 
1 -- 1 0 -- 1.15568e-88 
1 -- 1 0 -- 4.2173e-71 
0 -- 0 1 -- 1 
0 -- 2.9634e-77 1 -- 1 
1 -- 1 0 -- 0.998322 
0 -- 1 1 -- 4.2029e-51 
0 -- 8.64036e-148 1 -- 1 
1 -- 1 0 -- 2.83579e-43 
1 -- 7.02176e-110 0 -- 1 
1 -- 3.4487e-25 0 -- 1 
1 -- 1.03819e-10 0 -- 1 
1 -- 1 0 -- 1.5058e-196 
1 -- 0.0527151 0 -- 0.999958 
0 -- 4.67694e-19 1 -- 1 
1 -- 1 0 -- 1.17475e-25 
0 -- 3.63435e-77 1 -- 1 
1 -- 1 0 -- 1.17144e-27 
1 -- 1.00319e-45 0 -- 1 
1 -- 3.01702e-130 0 -- 1 
0 -- 1 1 -- 1.04852e-09 
1 -- 1 0 -- 1.86589e-23 
0 -- 1.83165e-160 1 -- 1 
0 -- 4.71721e-104 1 -- 1 
1 -- 1 0 -- 1.37371e-25 
1 -- 1 0 -- 9.20436e-62 
1 -- 1 0 -- 0.999992 
0 -- 0 1 -- 1 
0 -- 2.42e-44 1 -- 1 
0 -- 1 1 -- 9.49943e-99 
0 -- 6.68475e-129 1 -- 1 
1 -- 1 0 -- 2.42705e-136 
0 -- 8.25526e-126 1 -- 1 
1 -- 1 0 -- 1.62496e-110 
1 -- 1 0 -- 1.36854e-142 
1 -- 1 0 -- 0.000493547 
0 -- 2.28901e-107 1 -- 1 
1 -- 0.999987 0 -- 1 
1 -- 1 0 -- 4.95705e-13 
1 -- 1 0 -- 5.27879e-151 
0 -- 0.000319972 1 -- 0.0757381 
0 -- 1 1 -- 7.85926e-104 
0 -- 2.78284e-90 1 -- 1 
1 -- 1 0 -- 0.482665 
0 -- 1 1 -- 1.58048e-94 
0 -- 3.83157e-278 1 -- 1 
1 -- 1 0 -- 9.04705e-122 
1 -- 1 0 -- 1.13231e-75 
1 -- 1 0 -- 2.23356e-10 
1 -- 1 0 -- 7.32345e-26 
0 -- 1.82899e-155 1 -- 1 
0 -- 1 1 -- 8.05302e-54 
0 -- 8.55779e-215 1 -- 1 
0 -- 4.04914e-241 1 -- 1 
0 -- 1 1 -- 4.78131e-31 
0 -- 1 1 -- 1.62116e-59 
1 -- 1 0 -- 0.999992 
0 -- 4.39387e-283 1 -- 1 
0 -- 1 1 -- 9.1378e-65 
1 -- 1 0 -- 6.94777e-40 
1 -- 1 0 -- 8.69847e-67 
1 -- 1 0 -- 3.86502e-61 
1 -- 1 0 -- 4.75109e-179 
1 -- 1 0 -- 1.17777e-23 
0 -- 1.31862e-121 1 -- 1 
0 -- 1 1 -- 3.17352e-102 
1 -- 1 0 -- 1.64439e-12 
1 -- 1.34931e-20 0 -- 1 
1 -- 3.3421e-49 0 -- 1 
0 -- 3.39484e-09 1 -- 1 
0 -- 0 1 -- 1 
1 -- 0.999998 0 -- 3.1608e-10 
1 -- 1 0 -- 0.482665 
1 -- 1 0 -- 6.59849e-23 
1 -- 1 0 -- 1.53256e-137 
0 -- 1 1 -- 8.02193e-45 
0 -- 1.42829e-17 1 -- 1 
1 -- 1 0 -- 3.41126e-79 
1 -- 1 0 -- 3.2287e-42 
1 -- 1 0 -- 1.13962e-82 
0 -- 1 1 -- 5.8288e-63 
1 -- 1 0 -- 1.93901e-56 
1 -- 1 0 -- 0.000493547 
0 -- 7.71455e-33 1 -- 1 
1 -- 1 0 -- 6.94777e-40 
0 -- 6.51516e-133 1 -- 1 
0 -- 1 1 -- 2.23356e-10 
1 -- 1.17429e-07 0 -- 1 
1 -- 1 0 -- 0.000493547 
1 -- 1 0 -- 1.98067e-59 
1 -- 1 0 -- 1.81244e-91 
0 -- 1 1 -- 2.54841e-113 
0 -- 1.83292e-221 1 -- 1 
1 -- 1.01099e-32 0 -- 1 
1 -- 1 0 -- 1.73793e-122 
1 -- 1.73963e-30 0 -- 1 
1 -- 1 0 -- 2.12394e-75 
1 -- 1 0 -- 6.68578e-07 
0 -- 6.91807e-45 1 -- 1 
1 -- 1 0 -- 7.36906e-86 
1 -- 1 0 -- 9.98592e-33 
0 -- 1 1 -- 1.37903e-34 
1 -- 1 0 -- 2.34546e-113 
1 -- 1 0 -- 1.29419e-83 
1 -- 1 0 -- 3.64012e-46 
1 -- 1 0 -- 3.9747e-24 
1 -- 1 0 -- 7.22783e-42 
0 -- 0.265805 1 -- 0.000128496 
1 -- 6.04191e-47 0 -- 1 
1 -- 1 0 -- 1.4242e-07 
0 -- 1 1 -- 1.85169e-131 
0 -- 6.28417e-132 1 -- 1 
1 -- 1 0 -- 5.56548e-84 
0 -- 4.44238e-244 1 -- 1 
0 -- 1 1 -- 1.04852e-09 
1 -- 2.6482e-07 0 -- 1 
1 -- 1 0 -- 5.07974e-118 
0 -- 0.0527151 1 -- 0.999958 
1 -- 1 0 -- 1.56538e-46 
1 -- 1 0 -- 1.13231e-75 
1 -- 1 0 -- 1.07838e-98 
1 -- 1 0 -- 1.6916e-48 
1 -- 1 0 -- 3.64982e-170 
0 -- 2.48267e-121 1 -- 1 
0 -- 8.62529e-88 1 -- 1 
0 -- 1.52621e-17 1 -- 1 
1 -- 1 0 -- 4.95705e-13 
0 -- 1.43322e-30 1 -- 1 
1 -- 1 0 -- 1.80545e-82 
1 -- 1.31031e-54 0 -- 1 
0 -- 1.0947e-303 1 -- 1 
0 -- 1.79042e-142 1 -- 1 
1 -- 1 0 -- 5.24414e-90 
1 -- 1 0 -- 4.20426e-124 
1 -- 0.480244 0 -- 1.94197e-14 
0 -- 1 1 -- 4.62264e-26 
0 -- 0.999994 1 -- 1.65076e-21 
0 -- 1.82535e-147 1 -- 1 
1 -- 1 0 -- 1.24938e-123 
1 -- 1 0 -- 1.85294e-67 
1 -- 1 0 -- 4.8715e-65 
0 -- 1 1 -- 6.38377e-28 
0 -- 1 1 -- 4.14354e-98 
1 -- 1 0 -- 1.24938e-123 
1 -- 1 0 -- 2.84243e-94 
1 -- 1 0 -- 7.24476e-93 
0 -- 1 1 -- 0.999992 
1 -- 0.00026591 0 -- 0.00071379 
1 -- 1 0 -- 8.25225e-81 
1 -- 1 0 -- 2.7192e-74 
1 -- 1.07102e-210 0 -- 1 
0 -- 1 1 -- 2.82484e-34 
1 -- 1 0 -- 3.33456e-47 
1 -- 2.10388e-32 0 -- 1 
0 -- 1 1 -- 1.64877e-136 
0 -- 1.42751e-156 1 -- 1 
1 -- 1 0 -- 2.14124e-94 
1 -- 1 0 -- 1.19843e-17 
1 -- 1 0 -- 5.25841e-142 
1 -- 1 0 -- 1 
1 -- 4.94554e-123 0 -- 1 
1 -- 1 0 -- 0.000493547 
0 -- 6.9286e-52 1 -- 1 
1 -- 1 0 -- 3.37186e-53 
0 -- 0 1 -- 1 
0 -- 2.42945e-44 1 -- 1 
0 -- 1 1 -- 7.49847e-34 
1 -- 1 0 -- 6.59136e-54 
0 -- 0 1 -- 1 
0 -- 1.07934e-197 1 -- 1 
1 -- 1.20261e-64 0 -- 1 
1 -- 1.75753e-67 0 -- 1 
1 -- 1 0 -- 1.46886e-12 
1 -- 1 0 -- 7.36906e-86 
1 -- 1 0 -- 4.36759e-84 
0 -- 1.47951e-31 1 -- 0.791121 
1 -- 1 0 -- 1.43794e-55 
0 -- 1 1 -- 2.23879e-61 
0 -- 4.62228e-230 1 -- 1 
0 -- 1.97162e-35 1 -- 1 
0 -- 0 1 -- 1 
0 -- 6.91978e-45 1 -- 1 
1 -- 3.52713e-230 0 -- 1 
0 -- 1.61876e-22 1 -- 1 
1 -- 1 0 -- 1.30829e-48 
0 -- 0 1 -- 1 
1 -- 1 0 -- 1.85728e-118 
1 -- 1 0 -- 3.09426e-53 
0 -- 1 1 -- 8.63556e-70 
1 -- 5.89269e-194 0 -- 1 
1 -- 3.04898e-28 0 -- 1 
0 -- 1.03819e-10 1 -- 1 
0 -- 5.65315e-18 1 -- 0.905744 
0 -- 1 1 -- 1.64439e-12 
1 -- 1 0 -- 1.69046e-112 
1 -- 1 0 -- 1.67719e-11 
1 -- 1 0 -- 1.9607e-62 
0 -- 1 1 -- 2.92626e-26 
0 -- 0 1 -- 1 
0 -- 1.37224e-209 1 -- 1 
1 -- 1 0 -- 4.8715e-65 
0 -- 1 1 -- 2.02966e-86 
1 -- 1 0 -- 8.25931e-103 
0 -- 6.46705e-286 1 -- 1 
1 -- 8.31613e-135 0 -- 1 
0 -- 4.99792e-21 1 -- 0.999837 
1 -- 1 0 -- 1.19816e-70 
0 -- 5.97079e-27 1 -- 1 
1 -- 1 0 -- 1.13231e-75 
1 -- 1 0 -- 2.45232e-80 
0 -- 1 1 -- 4.44733e-46 
0 -- 1 1 -- 6.92318e-104 
1 -- 1 0 -- 2.26384e-67 
0 -- 9.88569e-232 1 -- 1 
1 -- 1.60425e-49 0 -- 1 
0 -- 1 1 -- 4.04442e-18 
1 -- 1 0 -- 1.15122e-79 
0 -- 2.82809e-131 1 -- 1 
0 -- 2.87783e-196 1 -- 1 
1 -- 0 0 -- 1 
0 -- 1 1 -- 0.00547675 
1 -- 1 0 -- 6.9986e-69 
0 -- 1 1 -- 9.59471e-42 
0 -- 4.00185e-99 1 -- 1 
1 -- 1 0 -- 6.94777e-40 
1 -- 1 0 -- 3.66416e-107 
1 -- 1 0 -- 5.8288e-63 
1 -- 0.995705 0 -- 0.997828 
1 -- 1.74057e-33 0 -- 1 
0 -- 1 1 -- 3.62723e-110 
0 -- 1.35953e-58 1 -- 1 
1 -- 1 0 -- 9.98592e-33 
1 -- 1 0 -- 4.44535e-57 
0 -- 1.617e-158 1 -- 1 
1 -- 1 0 -- 1.85294e-67 
1 -- 1.57076e-68 0 -- 1 
1 -- 1 0 -- 1 
0 -- 2.06801e-11 1 -- 1 
1 -- 1.49107e-33 0 -- 1 
0 -- 1 1 -- 1.93901e-56 
0 -- 9.88425e-32 1 -- 1 
0 -- 1.17187e-242 1 -- 1 
1 -- 1 0 -- 3.8623e-93 
0 -- 4.52649e-96 1 -- 1 
1 -- 1 0 -- 2.83452e-54 
1 -- 1 0 -- 8.28423e-90 
0 -- 6.34388e-106 1 -- 1 
0 -- 1 1 -- 1 
1 -- 1 0 -- 4.00275e-74 
0 -- 1.43746e-159 1 -- 1 
1 -- 1 0 -- 4.68065e-74 
1 -- 1 0 -- 0.999992 
0 -- 1 1 -- 1.80122e-31 
1 -- 4.51913e-229 0 -- 1 
0 -- 1 1 -- 6.94777e-40 
1 -- 2.86723e-212 0 -- 1 
0 -- 1 1 -- 9.80687e-71 
1 -- 1 0 -- 5.86904e-59 
1 -- 1 0 -- 7.86776e-73 
0 -- 1 1 -- 9.59471e-42 
0 -- 1 1 -- 1.69701e-121 
1 -- 1 0 -- 2.20201e-57 
1 -- 1 0 -- 6.6169e-63 
0 -- 2.32034e-57 1 -- 1 
1 -- 2.07066e-154 0 -- 1 
1 -- 9.44854e-104 0 -- 1 
0 -- 3.21301e-215 1 -- 1 
0 -- 1 1 -- 1.30829e-48 
1 -- 1 0 -- 1.87181e-64 
0 -- 6.01784e-173 1 -- 1 
0 -- 6.9286e-52 1 -- 1 
1 -- 1 0 -- 1.26295e-56 
0 -- 8.07682e-122 1 -- 1 
0 -- 7.27741e-31 1 -- 1 
1 -- 1 0 -- 1.04852e-09 
0 -- 0 1 -- 1 
1 -- 1 0 -- 9.19816e-126 
0 -- 1 1 -- 2.64208e-95 
1 -- 1 0 -- 2.68911e-68 
1 -- 1 0 -- 2.47229e-99 
1 -- 1 0 -- 3.16893e-08 
1 -- 1 0 -- 4.06961e-78 
1 -- 1 0 -- 2.26283e-78 
0 -- 1 1 -- 1.277e-152 
1 -- 5.34163e-50 0 -- 1 
1 -- 1 0 -- 1.78266e-87 
0 -- 3.37772e-195 1 -- 1 
1 -- 1 0 -- 6.96405e-91 
1 -- 1 0 -- 1.33891e-35 
0 -- 1.13935e-36 1 -- 1 
1 -- 1 0 -- 7.88365e-51 
0 -- 1 1 -- 3.81043e-108 
0 -- 1.49149e-118 1 -- 1 
0 -- 1 1 -- 1.84427e-39 
0 -- 3.51188e-171 1 -- 1 
0 -- 4.05354e-105 1 -- 1 
1 -- 1 0 -- 1.32091e-96 
0 -- 3.39484e-09 1 -- 1 
0 -- 1.98183e-192 1 -- 1 
0 -- 2.84902e-21 1 -- 1 
0 -- 4.58415e-240 1 -- 1 
1 -- 1.45121e-31 0 -- 1 
1 -- 1.19811e-126 0 -- 1 
1 -- 0.997564 0 -- 2.01545e-07 
1 -- 0.999999 0 -- 1.19438e-29 
1 -- 1 0 -- 1.25807e-47 
0 -- 1 1 -- 7.916e-07 
0 -- 2.89599e-178 1 -- 1 
0 -- 1 1 -- 4.07053e-25 
0 -- 1 1 -- 0.999992 
1 -- 0.000281622 0 -- 1 
1 -- 4.40313e-09 0 -- 1 
0 -- 1.69249e-45 1 -- 1 
1 -- 1 0 -- 8.92128e-116 
1 -- 2.89843e-42 0 -- 1 
1 -- 1 0 -- 4.14354e-98 
1 -- 1 0 -- 1.08996e-115 
0 -- 2.32294e-06 1 -- 0.337702 
1 -- 1 0 -- 3.64982e-170 
0 -- 1 1 -- 1.13792e-53 
1 -- 1 0 -- 6.27889e-24 
0 -- 1.67818e-80 1 -- 1 
0 -- 1 1 -- 9.49585e-98 
0 -- 3.12001e-236 1 -- 1 
1 -- 1.37025e-204 0 -- 1 
1 -- 1 0 -- 0.482665 
0 -- 1 1 -- 0.999992 
1 -- 7.22079e-145 0 -- 1 
0 -- 1 1 -- 2.84307e-41 
0 -- 2.05371e-09 1 -- 0.996934 
0 -- 2.57838e-64 1 -- 1 
1 -- 1 0 -- 1.95313e-53 
0 -- 1.73778e-50 1 -- 1 
0 -- 2.35152e-07 1 -- 0.312934 
0 -- 1.28529e-179 1 -- 1 
1 -- 1 0 -- 4.14354e-98 
1 -- 1.29195e-212 0 -- 1 
0 -- 0.999986 1 -- 0.0547359 
0 -- 1.91321e-101 1 -- 1 
1 -- 1 0 -- 1.61604e-18 
1 -- 9.49289e-83 0 -- 1 
1 -- 0.130614 0 -- 1 
1 -- 1 0 -- 2.32652e-94 
1 -- 1 0 -- 1.05098e-60 
1 -- 1 0 -- 9.36599e-10 
1 -- 1 0 -- 3.99664e-116 
1 -- 1.31791e-118 0 -- 1 
0 -- 3.40155e-153 1 -- 1 
0 -- 1.03819e-10 1 -- 1 
0 -- 1 1 -- 6.68578e-07 
1 -- 0.99345 0 -- 1.05259e-18 
1 -- 1 0 -- 3.22653e-106 
1 -- 9.79268e-23 0 -- 1 
1 -- 1 0 -- 3.36822e-84 
1 -- 1 0 -- 6.94777e-40 
1 -- 1 0 -- 9.86794e-131 
1 -- 1 0 -- 3.53967e-83 
0 -- 2.02692e-68 1 -- 1 
1 -- 1 0 -- 3.73981e-120 
0 -- 1 1 -- 1.15122e-79 
1 -- 1 0 -- 0.999992 
0 -- 1 1 -- 0.995044 
1 -- 1 0 -- 7.26663e-80 
0 -- 1 1 -- 6.25323e-68 
1 -- 1.06027e-107 0 -- 1 
1 -- 1 0 -- 7.75315e-36 
1 -- 1 0 -- 1.97302e-50 
1 -- 1.21385e-73 0 -- 1 
0 -- 2.83983e-171 1 -- 1 
1 -- 2.18705e-256 0 -- 1 
0 -- 1 1 -- 1.36534e-91 
0 -- 5.38267e-203 1 -- 1 
0 -- 1 1 -- 5.97211e-07 
1 -- 1 0 -- 5.72213e-100 
1 -- 1 0 -- 1.54925e-102 
1 -- 1 0 -- 5.73088e-58 
0 -- 0 1 -- 1 
1 -- 1 0 -- 8.95297e-52 
0 -- 2.99038e-19 1 -- 1 
1 -- 4.91962e-05 0 -- 1 
0 -- 6.48349e-155 1 -- 1 
0 -- 1.01909e-110 1 -- 1 
0 -- 1 1 -- 0.999992 
1 -- 1 0 -- 6.63391e-61 
0 -- 1 1 -- 3.20881e-14 
1 -- 1 0 -- 4.88402e-63 
1 -- 1 0 -- 1.48978e-101 
1 -- 1 0 -- 4.75109e-179 
1 -- 1 0 -- 6.6169e-63 
1 -- 1 0 -- 4.45775e-97 
0 -- 8.74334e-38 1 -- 1 
1 -- 1 0 -- 4.6216e-79 
1 -- 1 0 -- 1.87181e-64 
0 -- 6.22597e-123 1 -- 1 
0 -- 1 1 -- 2.22192e-33 
1 -- 1 0 -- 4.14354e-98 
1 -- 1 0 -- 2.05255e-52 
1 -- 1 0 -- 1.35638e-30 
0 -- 1 1 -- 1.44351e-64 
1 -- 1 0 -- 5.85139e-72 
0 -- 1 1 -- 4.44733e-46 
1 -- 1 0 -- 4.39954e-113 
1 -- 1.07062e-69 0 -- 1 
1 -- 1 0 -- 1.19353e-61 
0 -- 0.000319972 1 -- 0.0757381 
1 -- 1 0 -- 7.32345e-26 
1 -- 1 0 -- 1.83715e-30 
1 -- 0.971329 0 -- 1 
1 -- 1 0 -- 2.69662e-108 
1 -- 1 0 -- 1.62116e-59 
0 -- 2.06241e-280 1 -- 1 
0 -- 2.20243e-97 1 -- 1 
0 -- 5.27587e-169 1 -- 1 
0 -- 1.283e-34 1 -- 1 
1 -- 1 0 -- 1.31273e-36 
1 -- 1 0 -- 8.95297e-52 
1 -- 1 0 -- 3.74232e-56 
0 -- 1 1 -- 1.02569e-110 
1 -- 1 0 -- 1.80122e-31 
0 -- 4.48281e-62 1 -- 1 
1 -- 0.999703 0 -- 1.96679e-09 
1 -- 5.72606e-73 0 -- 1 
1 -- 1 0 -- 4.05828e-38 
0 -- 1 1 -- 8.17342e-33 
0 -- 2.99038e-19 1 -- 1 
1 -- 1 0 -- 1.0964e-102 
1 -- 1 0 -- 2.65231e-104 
0 -- 1.52621e-17 1 -- 1 
1 -- 1 0 -- 8.39726e-107 
1 -- 1 0 -- 6.70145e-58 
0 -- 0 1 -- 1 
1 -- 1 0 -- 2.93553e-67 
0 -- 1 1 -- 9.84048e-91 
1 -- 1 0 -- 4.27448e-128 
0 -- 1 1 -- 2.23356e-10 
1 -- 1 0 -- 1.03371e-56 
0 -- 6.7433e-17 1 -- 1 
0 -- 1 1 -- 4.78131e-31 
0 -- 1 1 -- 7.49847e-34 
0 -- 6.834e-44 1 -- 1 
1 -- 1 0 -- 1.06944e-08 
1 -- 1.42751e-156 0 -- 1 
1 -- 1 0 -- 4.80378e-59 
0 -- 9.09885e-126 1 -- 1 
0 -- 1 1 -- 2.88118e-33 
1 -- 1 0 -- 7.61042e-59 
0 -- 1 1 -- 1.15568e-88 
0 -- 2.84859e-43 1 -- 1 
1 -- 1.54107e-41 0 -- 1 
0 -- 5.59252e-120 1 -- 1 
1 -- 0.999448 0 -- 1 
1 -- 1 0 -- 1.8855e-93 
1 -- 1 0 -- 1.19816e-70 
1 -- 1 0 -- 2.17515e-76 
1 -- 1 0 -- 1.53256e-137 
1 -- 1 0 -- 2.96705e-84 
1 -- 1 0 -- 7.82892e-95 
0 -- 0.0527151 1 -- 0.999958 
1 -- 1.93847e-128 0 -- 1 
1 -- 1 0 -- 7.6661e-88 
1 -- 1 0 -- 6.35768e-72 
1 -- 1 0 -- 6.34282e-21 
0 -- 1 1 -- 4.88402e-63 
0 -- 1 1 -- 5.06786e-67 
1 -- 1 0 -- 2.54841e-113 
0 -- 1 1 -- 1.40737e-105 
1 -- 1 0 -- 6.29217e-128 
1 -- 1 0 -- 5.56797e-73 
1 -- 1 0 -- 1.87181e-64 
1 -- 1 0 -- 6.70362e-131 
1 -- 6.39427e-15 0 -- 0.0148465 
1 -- 0.0527151 0 -- 0.999958 
1 -- 1 0 -- 1.36946e-78 
0 -- 8.23122e-163 1 -- 1 
0 -- 2.05718e-112 1 -- 1 
0 -- 0 1 -- 1 
0 -- 1.06166e-148 1 -- 1 
1 -- 1 0 -- 5.87901e-54 
0 -- 1.11861e-31 1 -- 1 
0 -- 1.07374e-79 1 -- 1 
1 -- 1 0 -- 1.80545e-82 
0 -- 1 1 -- 4.16054e-54 
0 -- 7.6542e-29 1 -- 1 
0 -- 1.62656e-162 1 -- 1 
1 -- 1 0 -- 1 
0 -- 1.51123e-05 1 -- 2.78328e-09 
0 -- 1.21274e-71 1 -- 1 
0 -- 1 1 -- 2.69032e-57 
1 -- 2.07403e-21 0 -- 1 
1 -- 3.04898e-28 0 -- 1 
0 -- 1 1 -- 4.8726e-12 
1 -- 1 0 -- 1.13231e-75 
1 -- 1 0 -- 9.59471e-42 
1 -- 1 0 -- 4.95705e-13 
1 -- 1.04281e-09 0 -- 0.000241001 
0 -- 1 1 -- 1.00093e-83 
0 -- 1.27496e-52 1 -- 1 
0 -- 0.999998 1 -- 3.1608e-10 
0 -- 1 1 -- 1.35638e-30 
0 -- 1 1 -- 2.36899e-56 
0 -- 8.54078e-76 1 -- 1 
1 -- 1 0 -- 4.85269e-56 
1 -- 1 0 -- 1.12448e-151 
0 -- 1 1 -- 1 
0 -- 1 1 -- 2.64208e-95 
0 -- 1.02417e-60 1 -- 1 
1 -- 1 0 -- 8.22742e-94 
1 -- 1 0 -- 5.56422e-137 
1 -- 6.8241e-39 0 -- 1 
0 -- 0.999994 1 -- 1.65076e-21 
1 -- 1 0 -- 1.44351e-64 
1 -- 1 0 -- 5.54274e-128 
0 -- 1.03819e-10 1 -- 1 
1 -- 1 0 -- 1.03772e-65 
1 -- 1 0 -- 2.21572e-117 
1 -- 1 0 -- 0.239463 
1 -- 1.76562e-44 0 -- 1 
1 -- 1 0 -- 1.70882e-45 
1 -- 1 0 -- 1.56608e-35 
1 -- 1 0 -- 4.77419e-31 
1 -- 1 0 -- 5.86904e-59 
1 -- 1 0 -- 4.85269e-56 
1 -- 1 0 -- 1.17144e-27 
0 -- 1 1 -- 4.99628e-114 
0 -- 2.14064e-80 1 -- 1 
1 -- 2.997e-07 0 -- 1 
1 -- 1 0 -- 6.34282e-21 
1 -- 2.07403e-21 0 -- 1 
0 -- 1.04179e-108 1 -- 1 
1 -- 1 0 -- 4.01213e-125 
0 -- 1 1 -- 3.87727e-102 
0 -- 2e-46 1 -- 1 
1 -- 1 0 -- 9.84487e-80 
1 -- 0.00359631 0 -- 0.999964 
1 -- 7.10155e-127 0 -- 1 
0 -- 8.53117e-127 1 -- 1 
1 -- 1 0 -- 1.538e-73 
1 -- 1 0 -- 3.09426e-53 
1 -- 1 0 -- 2.13217e-84 
1 -- 1 0 -- 3.526e-74 
1 -- 1 0 -- 1.08575e-106 
1 -- 1.40022e-46 0 -- 1 
1 -- 2.07948e-10 0 -- 1 
0 -- 1 1 -- 1.13962e-82 
0 -- 9.39629e-16 1 -- 1 
0 -- 1 1 -- 6.70145e-58 
0 -- 8.36826e-76 1 -- 1 
0 -- 8.30259e-188 1 -- 1 
1 -- 2.96873e-136 0 -- 1 
1 -- 1.53693e-194 0 -- 1 
